latitude,longitude,elevation,slope,aspect,label,spatial_group,date,rainfall_7d_mm,sar_vv,sar_vh
27.7344,88.633,3496.0,22.131607055664062,113.49856567382812,1,27_88,2011/08/25 00:00:00+00,60.800000000000004,0.0,0.0
27.0161,88.2478,2193.0,15.812335968017578,13.240519523620605,1,27_88,2015/06/29 00:00:00+00,185.9,0.0,0.0
27.7,92.8,2442.0,16.647308349609375,49.398704528808594,1,27_92,2009/08/12 00:00:00+00,398.3,0.0,0.0
27.0771,88.482,1222.0,17.012378692626953,122.00538635253906,1,27_88,2008/06/30 00:00:00+00,124.9,0.0,0.0
25.583,91.893,1448.0,6.541306495666504,8.130102157592773,1,25_91,2015/09/23 00:00:00+00,227.3,0.0,0.0
27.3392,88.6188,1862.0,26.867265701293945,140.19442749023438,1,27_88,2010/08/27 00:00:00+00,462.7,0.0,0.0
27.7167,88.5577,2660.0,11.93842601776123,175.60128784179688,1,27_88,2012/06/03 00:00:00+00,112.0,0.0,0.0
26.22247247,91.92053028,91.0,20.32952117919922,336.8014221191406,1,26_91,2017/07/03 00:00:00+00,237.6,0.09177347272634506,0.06575004756450653
26.1407,91.7645,62.0,2.9355664253234863,108.43495178222656,1,26_91,2014/06/26 00:00:00+00,241.5,0.0,0.0
26.1028,91.8806,137.0,14.893916130065918,127.56858825683594,1,26_91,2015/08/22 00:00:00+00,314.4,0.22381041944026947,0.041394080966711044
27.1758,88.5294,308.0,19.196937561035156,62.241458892822266,1,27_88,2016/01/14 00:00:00+00,14.4,0.0,0.0
26.1966,91.802,105.0,10.113951683044434,270.0,1,26_91,2016/07/20 00:00:00+00,164.7,0.24742929637432098,0.13877156376838684
26.1016,91.6906,115.0,39.59166717529297,270.0,1,26_91,2013/05/11 00:00:00+00,75.7,0.0,0.0
27.04357147,88.26522126,2070.0,3.825169801712036,255.96376037597656,1,27_88,2009/05/26 00:00:00+00,293.3,0.0,0.0
27.4885,88.4451,1918.0,23.236125946044922,190.88552856445312,1,27_88,2011/06/17 00:00:00+00,148.8,0.0,0.0
27.2676,88.2891,614.0,46.709102630615234,214.41836547851562,1,27_88,2016/10/12 00:00:00+00,212.1,0.2227019965648651,0.07384862750768661
25.5772,91.8666,1479.0,11.591763496398926,251.56504821777344,1,25_91,2014/09/23 00:00:00+00,371.20000000000005,0.0,0.0
27.44,92.2833,2615.0,0.9290392994880676,0.0,1,27_92,2011/08/12 00:00:00+00,129.5,0.0,0.0
27.0875,88.4572,264.0,21.079408645629883,284.6208801269531,1,27_88,2007/09/20 00:00:00+00,36.1,0.0,0.0
27.3773,88.559,1480.0,31.695127487182617,346.3287048339844,1,27_88,2010/07/21 00:00:00+00,320.2,0.0,0.0
26.1833,91.8,68.0,3.9357235431671143,135.0,1,26_91,2007/09/13 00:00:00+00,222.70000000000002,0.0,0.0
27.3765,88.7628,3762.0,12.307198524475098,48.012786865234375,1,27_88,2013/06/27 00:00:00+00,201.79999999999998,0.0,0.0
27.0095,88.2592,2222.0,29.737689971923828,214.59228515625,1,27_88,2009/05/26 00:00:00+00,293.3,0.0,0.0
